room_id,room_number,room_type,floor_number,bed_capacity,department_id,status
RMN-959358,427,Recovery,5,2,DEP-008,Occupied
RMN-959643,429,OR,4,1,DEP-005,Occupied
RMN-960020,335,Standard,6,2,DEP-010,Available
RMN-960523,726,Standard,2,2,DEP-018,Maintenance
RMN-962751,796,Recovery,2,2,DEP-018,Maintenance
RMN-963279,338,OR,2,1,DEP-020,Available
RMN-963358,191,Standard,2,2,DEP-002,Occupied
RMN-964729,494,Standard,4,2,DEP-006,Occupied
RMN-965464,441,Private,5,1,DEP-009,Available
RMN-966112,465,Standard,4,2,DEP-005,Occupied
RMN-966824,710,Private,3,1,DEP-011,Occupied
RMN-968757,451,Recovery,3,2,DEP-003,Occupied
RMN-968884,718,ICU,3,1,DEP-007,Occupied
RMN-970934,855,Standard,5,2,DEP-009,Occupied
RMN-972475,711,OR,1,1,DEP-019,Available
RMN-972530,563,Private,2,1,DEP-004,Occupied
RMN-973589,162,Recovery,1,2,DEP-012,Occupied
RMN-975713,815,Standard,3,2,DEP-014,Occupied
RMN-976062,725,Private,2,1,DEP-020,Available
RMN-978128,168,Standard,2,2,DEP-020,Occupied
RMN-978264,746,Standard,2,2,DEP-002,Maintenance
RMN-979645,663,Standard,4,2,DEP-017,Available
RMN-979855,477,Standard,6,2,DEP-013,Available
RMN-984220,853,Isolation,3,1,DEP-014,Available
RMN-984513,210,Standard,4,2,DEP-015,Occupied
RMN-984619,704,Standard,2,2,DEP-020,Available
RMN-985901,583,Standard,4,2,DEP-005,Occupied
RMN-986390,807,ICU,1,1,DEP-019,Occupied
RMN-987027,877,Recovery,3,2,DEP-003,Occupied
RMN-988618,136,Standard,4,2,DEP-015,Occupied
RMN-988719,264,ICU,4,1,DEP-015,Available
RMN-991508,803,Private,3,1,DEP-007,Maintenance
RMN-991691,609,ICU,3,1,DEP-007,Occupied
RMN-991937,290,Standard,4,2,DEP-005,Occupied
RMN-991981,395,ER,5,2,DEP-008,Available
RMN-992021,603,Standard,2,2,DEP-018,Maintenance
RMN-993520,377,ICU,6,1,DEP-010,Occupied
RMN-997831,899,OR,2,1,DEP-020,Maintenance
RMN-998181,776,Private,4,1,DEP-017,Occupied
RMN-998311,689,Private,3,1,DEP-014,Available
